행정동_코드,행정동_코드_명,자치구,업종_영문,업종_명,실제_소비액,기대_소비액,소비_격차_금액,소비_격차_비율_pct,잔차_ZScore
11110515,청운효자동,종로구,지출_총금액,전체_총소비,2969979500.0,5119911451.0,-2149931951.0,-41.99,-0.707
11110530,사직동,종로구,지출_총금액,전체_총소비,54050365000.0,34722726648.0,19327638352.0,55.66,0.575
11110540,삼청동,종로구,지출_총금액,전체_총소비,3566912500.0,3106155649.0,460756851.0,14.83,0.18
11110550,부암동,종로구,지출_총금액,전체_총소비,2053593000.0,1975049371.0,78543629.0,3.98,0.051
11110560,평창동,종로구,지출_총금액,전체_총소비,2681921500.0,4848374600.0,-2166453100.0,-44.68,-0.769
11110570,무악동,종로구,지출_총금액,전체_총소비,3246369500.0,1587644146.0,1658725354.0,104.48,0.929
11110580,교남동,종로구,지출_총금액,전체_총소비,2561283250.0,4239520286.0,-1678237036.0,-39.59,-0.654
11110600,가회동,종로구,지출_총금액,전체_총소비,2970786000.0,3206904195.0,-236118195.0,-7.36,-0.099
11110615,종로1?2?3?4가동,종로구,지출_총금액,전체_총소비,111139049000.0,153898797310.0,-42759748310.0,-27.78,-0.423
11110630,종로5?6가동,종로구,지출_총금액,전체_총소비,10939841250.0,24704693447.0,-13764852197.0,-55.72,-1.058
11110640,이화동,종로구,지출_총금액,전체_총소비,9337710500.0,7177030917.0,2160679583.0,30.11,0.342
11110650,혜화동,종로구,지출_총금액,전체_총소비,10266359500.0,11266433476.0,-1000073976.0,-8.88,-0.121
11110670,창신1동,종로구,지출_총금액,전체_총소비,2809009750.0,6709675179.0,-3900665429.0,-58.13,-1.131
11110680,창신2동,종로구,지출_총금액,전체_총소비,1225232000.0,1419730400.0,-194498400.0,-13.7,-0.191
11110690,창신3동,종로구,지출_총금액,전체_총소비,358820750.0,406028080.0,-47207330.0,-11.63,-0.16
11110700,숭인1동,종로구,지출_총금액,전체_총소비,960887500.0,1280295666.0,-319408166.0,-24.95,-0.373
11110710,숭인2동,종로구,지출_총금액,전체_총소비,2285426500.0,5134584348.0,-2849157848.0,-55.49,-1.051
11140520,소공동,중구,지출_총금액,전체_총소비,2422727633500.0,49083046071.0,2373644587429.0,4835.98,5.063
11140540,회현동,중구,지출_총금액,전체_총소비,477807476500.0,39243983272.0,438563493228.0,1117.53,3.245
11140550,명동,중구,지출_총금액,전체_총소비,118846198500.0,169300037270.0,-50453838770.0,-29.8,-0.459
11140570,필동,중구,지출_총금액,전체_총소비,5513286250.0,13906224398.0,-8392938148.0,-60.35,-1.201
11140580,장충동,중구,지출_총금액,전체_총소비,2397613000.0,2986370462.0,-588757462.0,-19.71,-0.285
11140590,광희동,중구,지출_총금액,전체_총소비,10958546000.0,35343080863.0,-24384534863.0,-68.99,-1.52
11140605,을지로동,중구,지출_총금액,전체_총소비,152162896250.0,22132909807.0,130029986443.0,587.5,2.503
11140615,신당동,중구,지출_총금액,전체_총소비,5254824750.0,9396360329.0,-4141535579.0,-44.08,-0.755
11140625,다산동,중구,지출_총금액,전체_총소비,3588335000.0,6599119928.0,-3010784928.0,-45.62,-0.791
11140635,약수동,중구,지출_총금액,전체_총소비,2914687000.0,4721939123.0,-1807252123.0,-38.27,-0.626
11140645,청구동,중구,지출_총금액,전체_총소비,1231861250.0,1200183612.0,31677638.0,2.64,0.034
11140650,신당5동,중구,지출_총금액,전체_총소비,2901572000.0,2679636419.0,221935581.0,8.28,0.103
11140665,동화동,중구,지출_총금액,전체_총소비,1614787500.0,2408156867.0,-793369367.0,-32.95,-0.519
11140670,황학동,중구,지출_총금액,전체_총소비,4258737000.0,5928065366.0,-1669328366.0,-28.16,-0.429
11140680,중림동,중구,지출_총금액,전체_총소비,2926759500.0,3397277766.0,-470518266.0,-13.85,-0.194
11170510,후암동,용산구,지출_총금액,전체_총소비,2317493250.0,3067578476.0,-750085226.0,-24.45,-0.364
11170520,용산2가동,용산구,지출_총금액,전체_총소비,145816282250.0,1720325258.0,144095956992.0,8376.09,5.765
11170530,남영동,용산구,지출_총금액,전체_총소비,51285241000.0,11362146628.0,39923094372.0,351.37,1.957
11170555,청파동,용산구,지출_총금액,전체_총소비,3257262250.0,6477188889.0,-3219926639.0,-49.71,-0.893
11170560,원효로1동,용산구,지출_총금액,전체_총소비,3018878750.0,4923294968.0,-1904416218.0,-38.68,-0.635
11170570,원효로2동,용산구,지출_총금액,전체_총소비,1076695500.0,3255072701.0,-2178377201.0,-66.92,-1.436
11170580,효창동,용산구,지출_총금액,전체_총소비,1025695750.0,2582844842.0,-1557149092.0,-60.29,-1.199
11170590,용문동,용산구,지출_총금액,전체_총소비,1581457500.0,1409822737.0,171634763.0,12.17,0.149
11170625,한강로동,용산구,지출_총금액,전체_총소비,34729707000.0,40887015719.0,-6157308719.0,-15.06,-0.212
11170630,이촌1동,용산구,지출_총금액,전체_총소비,2913881250.0,11080647730.0,-8166766480.0,-73.7,-1.734
11170640,이촌2동,용산구,지출_총금액,전체_총소비,450698750.0,800641133.0,-349942383.0,-43.71,-0.746
11170650,이태원1동,용산구,지출_총금액,전체_총소비,9433768000.0,6367753404.0,3066014596.0,48.15,0.51
11170660,이태원2동,용산구,지출_총금액,전체_총소비,1960909000.0,3354703866.0,-1393794866.0,-41.55,-0.697
11170685,한남동,용산구,지출_총금액,전체_총소비,11982016250.0,22928682864.0,-10946666614.0,-47.74,-0.843
11170690,서빙고동,용산구,지출_총금액,전체_총소비,1759217500.0,2439237969.0,-680020469.0,-27.88,-0.424
11170700,보광동,용산구,지출_총금액,전체_총소비,1195209750.0,2149366602.0,-954156852.0,-44.39,-0.762
11200520,왕십리2동,성동구,지출_총금액,전체_총소비,2220098500.0,1842697002.0,377401498.0,20.48,0.242
11200535,왕십리도선동,성동구,지출_총금액,전체_총소비,8196440250.0,10835482719.0,-2639042469.0,-24.36,-0.362
11200540,마장동,성동구,지출_총금액,전체_총소비,4723537000.0,7596123170.0,-2872586170.0,-37.82,-0.617
11200550,사근동,성동구,지출_총금액,전체_총소비,5728153750.0,5097245478.0,630908272.0,12.38,0.152
11200560,행당1동,성동구,지출_총금액,전체_총소비,7753781750.0,8410665794.0,-656884044.0,-7.81,-0.106
11200570,행당2동,성동구,지출_총금액,전체_총소비,1737949250.0,1398962315.0,338986935.0,24.23,0.282
11200580,응봉동,성동구,지출_총금액,전체_총소비,496170250.0,1078950917.0,-582780667.0,-54.01,-1.009
11200590,금호1가동,성동구,지출_총금액,전체_총소비,1420875000.0,2015174418.0,-594299418.0,-29.49,-0.454
11200615,금호2?3가동,성동구,지출_총금액,전체_총소비,2721913250.0,4144958760.0,-1423045510.0,-34.33,-0.546
11200620,금호4가동,성동구,지출_총금액,전체_총소비,3118017000.0,3310471492.0,-192454492.0,-5.81,-0.078
