행정동_코드,행정동_코드_명,자치구,lat,lon,영역_면적,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,교육_지출_총금액,유흥_지출_총금액,여가_문화_지출_총금액,기타_지출_총금액,음식_지출_총금액,총_상주인구_수,남성_상주인구_수,여성_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,총_가구_수,아파트_가구_수,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,시간대_11_14_유동인구_수,시간대_17_21_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,지하철_역_수,버스_정거장_수,아파트_단지_수,아파트_평균_면적,아파트_평균_시가,아파트_가격_6_억_이상_세대_수,병원_약국_수,주말_유동인구_수,주중_유동인구_수
11110515,청운효자동,종로구,37.584418720515885,126.96990686761751,2568432,2969979500.0,962498250.0,268944000.0,47499000.0,120163750.0,79523500.0,91504750.0,76325250.0,92594750.0,93304750.0,1137621500.0,11328.0,5174.0,6154.0,1676.0,1401.0,1510.0,1884.0,1911.0,2946.0,5040.0,0.0,5324.0,3453.0,1871.0,976.0,1558.0,1487.0,952.0,3373528.25,1412358.0,1961169.5,448867.75,526670.5,592799.0,515657.75,491483.5,567859.25,475819.25,477501.25,489959.75,488651.5,485851.0,484350.25,471394.75,93.0,6.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,26.0,323.0,69.0,276146690.0,220.0,4.0,955745.0,2417782.75
11110530,사직동,종로구,37.57388621927961,126.9703752314623,1158536,54050365000.0,1745658250.0,544800250.0,20349250.0,1765977000.0,1083088750.0,237806500.0,340779750.0,1604240750.0,39718480750.0,6989183750.0,8992.0,3989.0,5003.0,1122.0,1044.0,1412.0,1407.0,1477.0,2530.0,4532.0,0.0,45215.0,28318.0,16897.0,5980.0,12797.0,13643.0,8976.0,3973369.75,1800761.75,2172608.25,615691.5,801148.5,822818.5,669961.5,778414.0,794821.25,575693.0,589007.75,614303.75,613260.25,608113.0,517237.75,455754.5,206.0,18.0,24.0,0.0,0.0,15.0,0.0,0.0,3.0,0.0,2.0,34.0,89.0,73.0,371237211.0,138.0,15.0,972992.25,3000377.75
11110540,삼청동,종로구,37.58836740902573,126.98120495146988,1479255,3566912500.0,657870500.0,431976250.0,41825500.0,68592500.0,28750.0,7869000.0,53413000.0,386043500.0,96039500.0,1823254000.0,2247.0,1075.0,1172.0,248.0,238.0,283.0,316.0,351.0,811.0,1120.0,0.0,4210.0,3509.0,701.0,499.0,1132.0,1342.0,1008.0,970162.0,450687.5,519474.75,152514.5,168621.75,183451.75,158548.5,189335.5,161028.75,135728.75,138091.5,141847.75,143812.0,143036.75,139872.75,127773.5,49.0,10.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,111.0,401044841.0,13.0,2.0,267646.25,702516.75
11110550,부암동,종로구,37.5969587400261,126.96354926751047,2274739,2053593000.0,244455750.0,57478000.0,12020250.0,79516000.0,124557500.0,525073500.0,930500.0,280386000.0,28746250.0,700429250.0,9034.0,4284.0,4750.0,1191.0,1096.0,1158.0,1374.0,1626.0,2589.0,4096.0,0.0,1509.0,851.0,658.0,249.0,446.0,417.0,290.0,873277.5,382058.75,491218.25,110074.75,99422.5,135700.5,144379.5,109589.5,133614.25,125450.75,126305.5,127858.25,126052.5,124636.25,121297.75,121676.5,84.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,189.0,82.0,259634651.0,114.0,1.0,242974.25,630303.25
11110560,평창동,종로구,37.61568263364914,126.96812734517589,8947328,2681921500.0,721526250.0,50518000.0,41944000.0,290160250.0,161357500.0,195471500.0,17400000.0,166087500.0,103278750.0,934177750.0,17366.0,8092.0,9274.0,2533.0,1997.0,2057.0,2484.0,3156.0,5139.0,7124.0,0.0,14903.0,8370.0,6533.0,1838.0,4002.0,4877.0,3247.0,912324.75,389029.75,523295.0,87426.25,94659.75,137916.25,160002.25,96984.75,139343.75,129188.0,129001.0,128589.5,128675.75,127800.75,133420.5,135647.5,162.0,6.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,91.0,294.0,124.0,480839259.0,548.0,6.0,269068.0,643255.0
11110570,무악동,종로구,37.577108233656,126.95858919704753,369520,3246369500.0,283346750.0,1825750.0,0.0,2604803500.0,2850000.0,58590750.0,6686500.0,57332000.0,66142500.0,164791750.0,7963.0,3652.0,4311.0,1473.0,823.0,813.0,1301.0,1434.0,2119.0,3007.0,0.0,485.0,124.0,361.0,140.0,140.0,127.0,54.0,1873664.0,825759.75,1047904.25,220214.5,226756.0,290503.0,295845.75,230282.0,324367.75,261082.25,266602.75,269332.25,266361.75,267910.25,273678.75,268696.25,42.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,7.0,47.0,82.0,660258193.0,390.0,5.0,542375.0,1331289.25
11110580,교남동,종로구,37.57106436845543,126.96411655616335,346926,2561283250.0,383676250.0,29203750.0,6676250.0,1397948250.0,13334750.0,217581750.0,17630500.0,45275500.0,57886250.0,392070000.0,9715.0,4456.0,5259.0,1530.0,1142.0,1407.0,1697.0,1622.0,2317.0,4341.0,0.0,870.0,522.0,348.0,82.0,232.0,249.0,180.0,4083436.5,1861352.75,2222083.5,485127.5,539227.75,704343.5,650328.5,460399.25,606050.75,585816.75,587043.75,586922.5,586732.25,582859.5,572099.0,581961.75,78.0,4.0,3.0,2.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,26.0,231.0,50.0,235058041.0,257.0,19.0,1154060.75,2929374.75
11110600,가회동,종로구,37.582511684291084,126.98655013932952,539955,2970786000.0,620625500.0,269604750.0,17975500.0,29243250.0,1233250.0,70620250.0,87503250.0,245522250.0,20421750.0,1608036250.0,3849.0,1787.0,2062.0,459.0,406.0,499.0,633.0,687.0,1165.0,1903.0,0.0,12996.0,9701.0,3295.0,1382.0,4493.0,3905.0,2451.0,1203425.25,575423.5,628002.0,175926.25,215516.75,231968.0,192646.25,229591.5,195186.5,175659.5,180853.0,182400.5,184541.5,181195.0,155727.5,143048.5,63.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,126.0,67.0,284759882.0,47.0,1.0,298776.0,904649.5
11110615,종로1?2?3?4가동,종로구,37.575186933038246,126.98985699099725,2417171,111139049000.0,4636820000.0,2283666500.0,619718750.0,7561635500.0,4352818000.0,1379493000.0,2546156750.0,10150193750.0,56992459250.0,20616087500.0,6658.0,4029.0,2629.0,369.0,944.0,974.0,835.0,1117.0,2419.0,4883.0,0.0,109733.0,60491.0,49242.0,22258.0,33474.0,30108.0,17196.0,13854335.25,7395449.5,6458886.0,2683083.75,2863962.5,2718518.75,2276929.0,2845330.5,2879530.0,2081914.5,2140184.75,2199477.0,2213296.0,2186421.25,1726739.5,1306301.25,500.0,19.0,35.0,0.0,0.0,47.0,0.0,1.0,5.0,17.0,5.0,72.0,9.0,49.0,278382323.0,12.0,47.0,3033040.75,10821293.5
11110630,종로5?6가동,종로구,37.572853710116696,127.00440346808996,603167,10939841250.0,758270000.0,568161750.0,170102750.0,4460416000.0,15783250.0,60880750.0,262466000.0,1724705250.0,11915750.0,2907139750.0,5376.0,2824.0,2552.0,359.0,1180.0,886.0,571.0,855.0,1525.0,3576.0,0.0,18962.0,11871.0,7091.0,4479.0,5500.0,4696.0,2883.0,5203580.5,2613353.75,2590226.75,834178.5,830188.75,864692.25,959040.25,945786.75,877453.5,777694.25,796844.0,807076.5,807478.5,797809.5,651791.5,564887.0,212.0,7.0,8.0,0.0,0.0,31.0,0.0,4.0,0.0,3.0,1.0,23.0,10.0,42.0,127248788.0,0.0,31.0,1216678.5,3986902.75
